1,121,31
2,73,19
3,29,41
4,116,40
5,115,34
6,90,24
7,113,33
8,67,25
9,115,39
10,104,31
11,77,29
12,-47,-24
13,38,56
14,118,35
15,127,46
16,117,39
17,114,38
18,127,38
19,107,-6
20,117,34
21,114,37
22,115,35
23,116,34
24,115,26
25,-99,19
26,114,33
27,119,37
28,114,32
29,140,36
30,-77,-12
31,114,31
32,117,35
33,-74,41
34,31,30
35,120,33
36,113,23
37,3,6
38,109,34
39,121,28
40,0,52
41,51,36
42,111,27
43,110,21
44,120,36
45,121,32
46,125,44
47,106,31
48,107,28
49,113,27
50,117,24
51,111,22
52,118,40
53,114,35
54,118,28
55,15,-4
56,114,37
57,117,38
58,123,42
59,116,32
60,-74,5
61,108,23
62,112,35
63,114,22
64,120,30
65,119,25
66,112,30
67,108,31
68,110,23
69,121,38
70,113,28
71,116,23
72,119,26
73,121,31
74,117,34
75,74,32
76,119,32
77,44,33
78,112,29
79,104,25
80,117,30
81,117,37
82,114,35
83,116,34
84,107,11
85,-43,-23
86,116,36
87,112,32
88,112,26
89,122,39
90,127,47
91,121,29
92,114,36
93,124,47
94,122,30
95,100,14
96,116,37
97,104,27
98,113,29
99,110,34
100,117,36
101,114,28
102,105,31
103,118,34
104,105,29
105,119,34
106,103,25
107,113,34
108,114,31
109,114,35
110,47,25
111,109,34
112,110,25
113,117,23
114,110,23
115,110,28
116,116,24
117,120,32
118,111,35
119,105,30
120,116,29
121,105,29
122,78,13
123,117,32
124,116,30
125,119,35
126,114,34
127,-71,-33
128,33,40
129,113,26
130,118,25
131,112,29
132,120,32
133,120,29
134,88,23
135,115,41
136,30,60
137,119,42
138,119,32
139,118,32
140,151,-34
141,118,32
142,121,30
143,127,44
144,112,36
145,116,38
146,80,13
147,105,30
148,30,31
149,118,37
150,112,28
151,112,23
152,117,40
153,108,25
154,96,17
155,113,24
156,115,36
157,111,31
158,107,32
159,-4,5
160,145,-38
161,116,28
162,107,24
163,107,30
164,113,23
165,28,-26
166,104,31
167,106,31
168,118,35
169,92,22
170,113,28
171,107,33
172,112,36
173,-118,34
174,107,34
175,118,37
176,104,1
177,73,23
178,118,41
179,109,22
180,113,23
181,109,24
182,107,27
183,113,38
184,113,35
185,9,12
186,117,33
187,140,35
188,120,32
189,78,17
190,106,35
191,110,38
192,4,7
193,104,30
194,111,33
195,123,41
196,18,-34
197,115,24
198,104,30
199,31,-30
200,13,53
201,39,22
202,120,42
203,115,23
204,129,35
205,121,31
206,124,43
207,120,27
208,112,35
209,105,29
210,-4,40
211,114,25
212,114,23
213,104,36
214,113,38
215,126,39
216,119,25
217,105,27
218,122,44
219,111,23
220,113,40
221,37,-1
222,106,32
223,-8,34
224,118,27
225,31,30
226,113,38
227,124,42
228,109,33
229,112,31
230,105,36
231,113,28
232,69,35
233,74,19
234,117,25
235,114,30
236,113,41
237,73,21
238,-58,-35
239,125,45
240,120,40
241,119,35
242,80,26
243,121,41
244,120,31
245,27,38
246,105,33
247,31,50
248,113,-7
249,114,34
250,112,23
251,112,22
252,12,42
253,39,9
254,106,26
255,120,49
256,76,27
257,118,26
258,130,45
259,119,32
260,39,-7
261,-88,42
262,106,21
263,13,-9
264,127,37
265,119,25
266,121,25
267,120,31
268,45,2
269,115,30
270,117,24
271,113,32
272,120,28
273,109,24
274,122,38
275,136,35
276,130,47
277,73,31
278,-79,44
279,131,47
280,119,29
281,101,23
282,-38,-13
283,81,27
284,-48,-16
285,114,23
286,129,36
287,110,34
288,60,36
289,124,40
290,117,33
291,107,22
292,108,-7
293,88,44
294,-17,15
295,100,24
296,107,-6
297,122,41
298,28,-26
299,-39,-4
300,118,31
301,107,36
302,111,35
303,-80,-2
304,109,37
305,112,41
306,126,42
307,-44,-20
308,116,23
309,-76,6
310,3,37
311,112,24
312,2,49
313,79,21
314,124,42
315,110,41
316,117,34
317,137,35
318,113,36
319,103,24
320,-82,23
321,69,41
322,37,36
323,10,4
324,-77,3
325,99,4
326,-95,30
327,-67,11
328,50,40
329,123,46
330,36,34
331,153,-27
332,103,38
333,0,6
334,26,44
335,102,37
336,122,42
337,131,45
338,-72,11
339,141,43
340,32,16
341,119,38
342,76,23
343,28,54
344,123,41
345,110,23
346,12,4
347,-8,13
348,107,-6
349,104,37
350,114,23
351,10,54
352,118,24
353,107,-6
354,73,34
355,127,50
356,116,23
357,104,38
358,19,48
359,118,34
360,-60,-3
361,21,52
362,29,40
363,36,34
364,44,15
365,16,48
366,28,-26
367,111,22
368,-49,-25
369,117,35
370,20,45
371,121,15
372,116,-32
373,-99,20
374,110,29
375,110,22
376,110,21
377,102,3
378,-7,34
379,113,31
380,-74,46
381,-78,0
382,2,41
383,-63,-18
384,117,29
385,52,33
386,109,21
387,85,26
388,77,23
389,117,31
390,33,0
391,114,36
392,35,37
393,110,20
394,7,11
395,111,22
396,112,39
397,112,33
398,-117,33
399,120,33
400,106,38
401,124,41
402,110,-7
403,103,30
404,-14,10
405,76,31
406,31,-18
407,106,30
408,-98,19
409,135,35
410,40,21
411,120,23
412,-75,40
413,131,47
414,-2,12
415,106,36
416,118,25
